TransactionID,SellerID,BuyerID,AmountOfEnergy,PricePerKWh,Date,Time
1001,2001,3001,50.5,4.2,12:05:2020,14:30
1002,2002,3002,30.0,4.5,23:07:2021,09:15
1003,2001,3001,75.0,4.1,05:03:2022,16:45
1004,2003,3003,45.0,3.8,18:09:2023,11:20
1005,2004,3004,60.0,4.0,29:11:2024,10:10
1006,2002,3002,90.5,4.6,07:02:2025,08:00
1007,2005,3005,20.0,3.5,15:06:2020,17:50
1008,2006,3006,110.0,4.9,22:08:2021,13:40
1009,2001,3001,95.0,4.3,09:12:2022,19:00
1010,2003,3007,40.0,3.7,30:04:2023,07:25
1011,2004,3008,55.5,4.1,03:10:2024,12:10
1012,2005,3009,85.0,4.8,11:03:2025,21:15
1013,2007,3010,100.0,4.7,14:07:2020,05:30
1014,2008,3011,65.0,4.2,20:09:2021,14:55
1015,2002,3002,78.0,4.6,06:11:2022,20:05
1016,2009,3012,35.5,3.9,19:01:2023,06:40
1017,2010,3013,88.0,4.5,27:05:2024,15:20
1018,2005,3014,47.0,3.8,02:08:2025,18:30
1019,2011,3015,73.5,4.3,13:02:2020,22:10
1020,2006,3006,99.0,4.7,05:06:2021,16:00
1021,2012,3016,57.0,4.0,17:10:2022,09:50
1022,2013,3017,120.0,5.0,25:12:2023,11:45
1023,2001,3001,82.0,4.4,10:04:2024,14:25
1024,2014,3018,33.0,3.6,08:07:2025,19:35
1025,2015,3019,90.0,4.2,16:01:2020,10:15
1026,2003,3003,58.0,3.9,21:03:2021,12:05
1027,2016,3020,67.5,4.3,29:05:2022,17:45
1028,2017,3021,105.0,4.6,12:09:2023,07:50
1029,2001,3001,50.0,4.1,01:12:2024,22:05
1030,2018,3022,45.5,3.7,14:02:2025,08:20
1031,2009,3012,36.0,3.8,23:06:2020,14:10
1032,2019,3023,98.0,4.7,07:08:2021,09:55
1033,2020,3024,130.0,5.1,30:10:2022,19:40
1034,2002,3002,65.5,4.4,09:01:2023,11:25
1035,2021,3025,40.0,3.6,18:05:2024,16:30
1036,2007,3010,110.5,4.8,04:08:2025,20:50
1037,2022,3026,75.0,4.2,25:02:2020,23:15
1038,2003,3003,120.5,5.0,11:06:2021,13:35
1039,2023,3027,88.5,4.5,28:09:2022,07:45
1040,2024,3028,53.0,3.9,06:11:2023,12:25
1041,2005,3014,79.0,4.3,14:02:2024,17:10
1042,2025,3029,95.5,4.7,22:07:2025,21:20
1043,2008,3011,68.5,4.1,03:04:2020,15:40
1044,2026,3030,101.0,4.6,19:08:2021,10:00
1045,2001,3001,99.5,4.4,27:12:2022,18:15

